No,Sha,Valid,Message,Issue-url,Tag,Category
45,26a7256c4cec17fc9bc20a239c112cbf8584be09,False, shrink mgr modify existing mgr check rely inventory alias order check selected manager removed present close http show_bug.cgi 1967897 signed guillaume abrioux gabrioux redhat.com, , ,None
46,31311b03eddfe8bffd9bcaf4c486a9c4f7273b0a,False, cephadm adopt rgw add host target svc_id multi realm deployed several instance belonging realm zone using port different node service expected cephadm therefore one service deployed need create service called node realm zone port sure service name unique well deployed expected node order preserve backward compatibility rgws instance deployed ceph ansible close http show_bug.cgi 1967455 signed guillaume abrioux gabrioux redhat.com, , ,None
47,fc160b3be18edd1615ebb2b813a8468748f6d7d3,False, run ceph validate role add ceph validate role starting switch containerized deployment close http show_bug.cgi 1968177 signed dimitri savineau dsavinea redhat.com, , ,None
48,793d529302aaa7426b0dd9e4c1acbde5ed17da66,False, library ceph_key.py rewrite also code lint flake8 signed wong hoi sing edison hswong3i pantarei design.com, , ,None
49,2491d4e004c7b162216bc17e2288f05d0b049a87,False, dashboard add new prometheus alert requested update alerting definition include slow osd ops health check close http show_bug.cgi 1951664 signed boris ranto branto redhat.com, , ,None
50,fc784fc44c456608b13cd54b258db0dc8aefaf62,False, cephadm adopt support rgw multisite adoption need support rgw multisite deployment commit make adoption playbook support kind deployment close http show_bug.cgi 1967455 signed guillaume abrioux gabrioux redhat.com, , ,None
51,8279d14d328ad4bacafc01847f3ad9f385b4a3d5,False, multisite fix bug running switch container playbook multisite enabled fact rgw_instances set node processed serial consequence set_fact iterate rgw node order look  adding condition checking whether hostvars item defined fix issue close http show_bug.cgi 1967926 signed guillaume abrioux gabrioux redhat.com, , ,None
52,3eba2a1584284363cae81118ed6dbe7649b03c19,False, test retry generating ssh vagrant config also add debug signed david galloway dgallowa redhat.com, , ,None
53,8dbee99882968005e744d3c8199dbfdea17495cc,False, nfs copy rgw using need copy keyring using nfs signed guillaume abrioux gabrioux redhat.com, , ,None
54,38bfad46e8bcb7ff13ebeb1596b3ba3b685b0b4c,False, container conditionnally disable lvmetad enabling lvmetad containerized deployment el7 based might cause issue commit make possible disable service needed close http show_bug.cgi 1955040 signed guillaume abrioux gabrioux redhat.com, , ,None
55,d58500ade01c7c4cc20b6bbaf8f5789d825b8d1b,False, ceph_key handle error better way calling ceph_key module state info ceph command called fails actual error hidden module make pretty difficult troubleshoot current code always state equal keyring exist state info always return actual stdout stderr close http show_bug.cgi 1964889 signed guillaume abrioux gabrioux redhat.com, , ,None
56,f9a73149a4da79db4942d98b366d686665d402d7,False, cephadm adopt fix mgr placement host task mgrs group defined inventory mgr daemon implicitly collocated monitor task currently relies length mgr group order tell cephadm deploy mgr daemon mgrs group defined inventory ask cephadm deploy mgr daemon make sense throw error close http show_bug.cgi 1970313 signed guillaume abrioux gabrioux redhat.com, , ,None
57,b49cdea750a7fb3da6fc9208c09bbe66dbbbeb77,False, test allocate memory all_in_one job since fire much vms job affoard allocating memory job host daemon 1024mb signed guillaume abrioux gabrioux redhat.com, , ,None
58,f7166cccbfa206f07a1ecca8d3eba0fe9d396c3a,False, rolling_update fix mon rgw multisite collocation monitor rgw collocated multisite enabled rolling_update playbook fails workflow run radosgw admin command early first mon even though monitor upgraded mean container exist since stopped block relevant scaling rgw daemon initial deployment rolling_update workflow needed let skip  close http show_bug.cgi 1970232 signed guillaume abrioux gabrioux redhat.com, , ,None
59,c2aaa96fc7d9a9b47774b51c533906004cd768bd,False, test use centos 8.4 image centos 8.4 vagrant image available http let use signed guillaume abrioux gabrioux redhat.com, , ,None
60,d18a9860cde2981bcd71198f152924cc6cf05932,True, sensitive key data hidden output log fix 6529 signed neelaksh singh neelaksh48 gmail.com,https://api.github.com/repos/ceph/ceph-ansible/issues/6529, ,Porous_defenses
61,d4dfa204d292ae2020a2ea94fe7ec5d241b96a43,False, revert test disable reverts commit new build ceph master including fix available needed anymore signed guillaume abrioux gabrioux redhat.com, , ,None
62,2e19d1705efa8ef247eecb540357195d5142da77,False, test disable due recent commit introduced regression ceph test failing temporarily disabling unblock signed guillaume abrioux gabrioux redhat.com, , ,None
63,4daed1f137a4c61940abd9ae2db179fafd8de17a,False, dashboard set cookie_secure grafana using grafana behind http cookie_secure set true close http show_bug.cgi 1966880 signed guillaume abrioux gabrioux redhat.com, , ,None
64,d6745e9cd9c2b5f0e20280e4ae0fe1b125287b0c,False, fs2bs use match filter selectattr changed filter selectattr match equalto due incompatibility jinja2 version python 2.7 el7 must stick using match filter signed guillaume abrioux gabrioux redhat.com, , ,None
65,0990ae41099d8b9d678f546fc8790033f421711f,False, fs2bs fix wrong filter setting osd_ids using match filter task lead bad behavior following node name instance node1 node11 node111 selectattr name match match node1 along node11 node111 using equalto filter make sure match target node close http show_bug.cgi 1963066 signed guillaume abrioux gabrioux redhat.com, , ,None
66,664dae0564d54d6df873b96264e59fa38c8280a4,False, prometheus enforce osd node template osd node collocated client group hci context instance current logic exclude osd node since present client group best fix would exclude client node member another group workaround enforce addition osd node fix specific case close http show_bug.cgi 1947695 signed guillaume abrioux gabrioux redhat.com, , ,None
67,43b1c7bea9531d16cbdf6f9a8690f735d2190730,False, vagrant_up fix bash legacy syntax commit rewrite deprecated syntax used vagrant_up.sh signed guillaume abrioux gabrioux redhat.com, , ,None
68,9efca34ac3363a0b942a0b1a49b6bc789d7c668a,False, test pull image temporary work around vagrant cloud issue seems broken time pushing commit let pull image since vagrant cloud hosted image return 403 error signed guillaume abrioux gabrioux redhat.com, , ,None
69,2c77d0094c9bab02dee32a144faf5168262049df,False, update gather fact play benefit gather fact play  signed guillaume abrioux gabrioux redhat.com, , ,None
70,e6d8b058ba92fecdc78ee55b0dd8ce12c5120df0,True, nfs get container since need revert 33bfb10 alternative initial approach avoid maintaining file since present container image idea simply get image container write host fix 6501 signed guillaume abrioux gabrioux redhat.com,https://api.github.com/repos/ceph/ceph-ansible/issues/6501,bug,None
71,a670982a38cf87cef87ebadf15d7e33fa7a6ff44,True, ceph rgw fix pool rgw pool introduced 9f03a52 wrong missing value keyword dict fix 6516 signed dimitri savineau dsavinea redhat.com,https://api.github.com/repos/ceph/ceph-ansible/issues/6516,bug,None
72,3db1ea7ec41475243559beff50b7011773c021e5,False, update fix ceph crash stop task workaround issue ansible trying stop mask disable service one task stop actually happen task fail reason container still present running task starting service role ceph crash fails start container since already running name close http show_bug.cgi 1955393 signed guillaume abrioux gabrioux redhat.com, , ,General
