id,languages,classifier,clfType,fileType
16752620,"['go', 'css', 'javascript', 'shell']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
15428480,"['javascript', 'html', 'css']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
22458259,"['ruby', 'objective-c']",HD*,HD,['*']
22887094,"['c++', 'c', 'shell', 'java', 'python']",HD*_Shell*,HD_ID,"['.sh', '.bsh', '.zsh', '*']"
1828795,"['objective-c', 'ruby', 'c']",HD*,HD,['*']
9852918,"['javascript', 'html', 'css', 'shell']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
29268051,"['html', 'css', 'javascript']",HD*,HD,['*']
10187082,"['javascript', 'shell', 'python']",Shell*_JavaScript*,ID,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh']"
12888993,"['python', 'shell']",Python*_Shell*,ID,"['.py', '.sh', '.bsh', '.zsh']"
36502,"['c', 'shell', 'python', 'javascript', 'c++', 'go', 'css', 'objective-c', 'php']",Python*_Java-C_Shell*,ID_FFI,"['.java', '.c', '.sh', '.bsh', '.zsh', '.py']"
4710920,"['java', 'html', 'shell']",Java-C_Java*_Shell*,ID_FFI,"['.java', '.c', '.sh', '.bsh', '.zsh', '.java']"
2935735,"['javascript', 'html', 'css', 'php', 'shell', 'ruby']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
1129010,"['php', 'javascript', 'html', 'go', 'python', 'shell', 'css']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
3432266,"['java', 'javascript', 'html', 'typescript', 'css', 'shell', 'ruby', 'objective-c']",Java-C_Java*_JavaScript*,ID_FFI,"['.java', '.c', '.ts', '.js', '.html', '.java']"
5483330,"['python', 'shell']",Python*_Shell*,ID,"['.sh', '.bsh', '.zsh', '.py']"
7569578,"['ruby', 'javascript', 'html', 'css', 'shell']",HD*_Ruby*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '.rb', '*']"
12791642,"['c++', 'python', 'shell']",HD*_Shell*,HD_ID,"['.sh', '.bsh', '.zsh', '*']"
14712850,"['go', 'html', 'javascript', 'css', 'shell']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
15062869,"['javascript', 'typescript', 'css', 'shell']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
14370955,"['javascript', 'html', 'css']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
5923215,"['javascript', 'shell']",JavaScript*,ID,"['.ts', '.js', '.html']"
11225014,"['go', 'shell']",Shell*,ID,"['.sh', '.bsh', '.zsh']"
1663468,"['javascript', 'css', 'html']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
21413198,"['javascript', 'typescript', 'css', 'html', 'shell']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
12972263,"['javascript', 'html', 'css']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
12820537,"['javascript', 'css', 'ruby', 'shell', 'html']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
6838921,"['go', 'typescript', 'javascript', 'html', 'css', 'shell']",C-Go_Ruby-Go_JavaScript*,ID_FFI,"['.go', '.go', '.ts', '.js', '.html']"
7190986,"['c', 'python', 'c++', 'html', 'shell', 'java']",HD*,HD,['*']
2573058,"['html', 'css', 'javascript', 'shell']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
7741856,"['javascript', 'typescript']",JavaScript*,ID,"['.ts', '.js', '.html']"
11551538,"['javascript', 'shell']",HD*,HD,['*']
11267509,"['java', 'shell']",Java-C,FFI,"['.java', '.c']"
27442967,"['ruby', 'html', 'objective-c', 'java', 'shell', 'javascript']",HD*_Ruby*,HD_ID,"['.rb', '*']"
26066727,"['javascript', 'html', 'css']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
952189,"['javascript', 'html']",JavaScript*,ID,"['.ts', '.js', '.html']"
15634981,"['c++', 'java', 'python', 'shell', 'javascript', 'objective-c']",Python*_C++-Ruby_Java-C_C-Python,ID_FFI,"['.mm', '.java', '.c', '.c', '.py', '.py']"
1200050,"['c++', 'javascript', 'c', 'python', 'html', 'shell', 'css']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
667006,"['javascript', 'css', 'html']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
8681349,"['ruby', 'html', 'shell', 'css']",HD*_Ruby*_Shell*,HD_ID,"['.sh', '.bsh', '.zsh', '.rb', '*']"
931135,"['javascript', 'html', 'shell', 'css']",Shell*_HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '*']"
13807606,"['go', 'ruby', 'shell']",Shell*_Ruby*,ID,"['.rb', '.sh', '.bsh', '.zsh']"
9393759,"['javascript', 'typescript']",JavaScript*,ID,"['.ts', '.js', '.html']"
698041,"['javascript', 'css', 'shell']",Shell*_JavaScript*,ID,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh']"
6093316,"['typescript', 'javascript', 'shell']",Shell*_JavaScript*,ID,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh']"
1844251,"['javascript', 'html', 'css', 'shell']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
26516210,"['python', 'shell', 'c']",Python*_Shell*,ID,"['.py', '.sh', '.bsh', '.zsh']"
29207621,"['go', 'html', 'php']",HD*,HD,['*']
10446890,"['c', 'objective-c', 'java', 'shell', 'c++', 'ruby']",Java-C_HD*_Java*,ID_HD_FFI,"['.java', '.c', '.java', '*']"
15019962,"['shell', 'python', 'javascript', 'css']",HD*_Shell*,HD_ID,"['.sh', '.bsh', '.zsh', '*']"
1644196,"['c', 'c++', 'shell', 'objective-c', 'python', 'javascript', 'ruby']",Java-C_HD*_Shell*,ID_HD_FFI,"['.java', '.c', '.sh', '.bsh', '.zsh', '*']"
15452919,"['go', 'c', 'javascript', 'c++', 'python', 'java', 'html', 'shell', 'ruby']",Java-C_C-Go_Ruby-Go,FFI,"['.go', '.go', '.java', '.c']"
5239185,"['javascript', 'css', 'ruby', 'shell']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
349241,"['javascript', 'html']",JavaScript*,ID,"['.ts', '.js', '.html']"
18049133,"['javascript', 'css', 'html', 'ruby']",HD*,HD,['*']
8575137,"['java', 'html', 'css', 'shell']",HD*,HD,['*']
27729880,"['c++', 'python', 'c', 'ruby', 'objective-c', 'shell', 'php', 'javascript', 'go', 'java', 'css', 'html']",Python*_C++-Ruby_Java-C_C-Python,ID_FFI,"['.c', '.py', '.mm', '.java', '.c', '.py']"
2562751,"['java', 'html', 'css']",Java-C_Java*,ID_FFI,"['.java', '.c', '.java']"
25315643,"['javascript', 'html', 'css', 'shell', 'python', 'php']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
3620194,"['javascript', 'html', 'css']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
317757,"['javascript', 'html', 'css', 'shell']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
28167802,"['css', 'html', 'javascript']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
1283503,"['javascript', 'shell']",JavaScript*_Shell*,ID,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
873328,"['python', 'javascript', 'typescript', 'css', 'html', 'shell', 'ruby']",Python*_C-Python_JavaScript*,ID_FFI,"['.c', '.py', '.py', '.ts', '.js', '.html']"
4578002,"['python', 'shell']",Python*_Shell*,ID,"['.sh', '.bsh', '.zsh', '.py']"
3774328,"['c', 'c++']",HD*,HD,['*']
858127,"['python', 'html', 'c', 'shell', 'css']",Python*_Java-C_C-Python,ID_FFI,"['.c', '.py', '.java', '.c', '.py']"
6452529,"['c++', 'python', 'java', 'javascript', 'css', 'ruby', 'c', 'html', 'shell']",Python*_C-Python_HD*,ID_HD_FFI,"['.c', '.py', '.py', '*']"
29891188,"['javascript', 'shell']",Shell*,ID,"['.sh', '.bsh', '.zsh']"
2579314,"['php', 'shell']",HD*,HD,['*']
3482588,"['php', 'shell', 'java', 'python', 'html']",HD*_Shell*,HD_ID,"['.sh', '.bsh', '.zsh', '*']"
458058,"['php', 'html', 'css', 'javascript', 'shell']",HD*,HD,['*']
11620669,"['css', 'html']",HD*,HD,['*']
3721224,"['javascript', 'css', 'python', 'html']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
1064563,"['java', 'c', 'shell', 'c++', 'html', 'css']",Java-C_Java*_Shell*,ID_FFI,"['.java', '.c', '.sh', '.bsh', '.zsh', '.java']"
313419,"['objective-c', 'c', 'ruby']",HD*,HD,['*']
15585444,"['css', 'html', 'javascript']",HD*,HD,['*']
1631024,"['html', 'css', 'shell', 'javascript']",HD*_Shell*,HD_ID,"['.sh', '.bsh', '.zsh', '*']"
667561,"['javascript', 'html']",JavaScript*,ID,"['.ts', '.js', '.html']"
13840241,"['ruby', 'css', 'html', 'javascript']",HD*_Ruby*,HD_ID,"['.rb', '*']"
29887499,"['ruby', 'shell']",Shell*,ID,"['.sh', '.bsh', '.zsh']"
2500088,"['ruby', 'javascript', 'html', 'css', 'shell']",JavaScript*_HD*_Ruby*,HD_ID,"['.rb', '.ts', '.js', '.html', '*']"
5070389,"['java', 'css']",HD*,HD,['*']
5532320,"['html', 'javascript', 'shell', 'css']",Shell*_HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '*']"
1801829,"['javascript', 'typescript', 'html', 'shell']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
13584262,"['javascript', 'shell']",Shell*_JavaScript*,ID,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh']"
2541284,"['javascript', 'html', 'shell']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
3757512,"['javascript', 'html']",JavaScript*,ID,"['.ts', '.js', '.html']"
8859474,"['java', 'shell']",Shell*,ID,"['.sh', '.bsh', '.zsh']"
24841635,"['javascript', 'shell']",JavaScript*_Shell*,ID,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
1028340,"['javascript', 'html', 'css', 'shell']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
790359,"['javascript', 'typescript']",JavaScript*,ID,"['.ts', '.js', '.html']"
3602123,"['javascript', 'html', 'css']",HD*,HD,['*']
28751632,"['python', 'shell']",Shell*,ID,"['.sh', '.bsh', '.zsh']"
4037197,"['python', 'shell']",Python*_Shell*,ID,"['.sh', '.bsh', '.zsh', '.py']"
2700474,"['java', 'javascript', 'shell']",Java*_Shell*,ID,"['.sh', '.bsh', '.zsh', '.java']"
308770,"['ruby', 'html']",HD*,HD,['*']
9603240,"['html', 'css', 'javascript']",HD*,HD,['*']
24635156,"['typescript', 'css', 'javascript', 'html']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
17728164,"['go', 'html', 'shell']",Ruby-Go_Shell*,ID_FFI,"['.go', '.sh', '.bsh', '.zsh']"
18044526,"['shell', 'python', 'html']",HD*_Shell*,HD_ID,"['.sh', '.bsh', '.zsh', '*']"
4484451,"['ruby', 'shell', 'python', 'html']",HD*_Shell*,HD_ID,"['.sh', '.bsh', '.zsh', '*']"
