repo_id,apity,apity_num,pj_size,lg_num,age,cmmt_num,dev_num,se_num,se_rem_num,se_iibc_num,se_pd_num,se_other
19463625,IRI,0,708,4,2603,692,126,34,5,1,8,20
924303,IRI_ID,0,8242,6,3399,1517,243,34,7,0,3,24
8538132,IRI_ID,0,36178,4,3025,242,42,14,0,0,0,14
658518,FFI,0,74769,5,3802,20000,879,392,139,5,39,209
17804584,HI,1,157,2,1653,149,13,1,1,0,0,0
80472665,IRI,0,43375,3,1590,695,82,1,1,0,0,0
11116372,IRI_ID,0,151842,6,2920,8791,338,208,20,4,10,174
43797718,IRI,0,1461,2,1154,648,117,10,2,3,1,4
104172832,IRI_ID,0,17324,5,1380,3859,155,29,2,0,1,26
75164823,IRI,0,9747,4,1634,1630,353,269,31,0,9,229
42625970,IRI,0,238375,3,2110,404,96,28,6,0,0,22
5888353,IRI,0,10497,5,3437,3993,601,149,40,0,7,102
1631570,IRI,0,5829,3,3713,1354,132,34,10,1,0,23
13142126,IRI,0,24300,4,2816,3753,212,68,0,6,3,59
5448530,ID,0,16494,3,1232,1401,75,2,0,0,0,2
95412229,IRI_ID,0,1012,4,1161,233,13,4,0,0,1,3
93253246,IRI_ID,0,690555,4,2439,5616,714,35,3,0,1,31
45147841,IRI_ID,0,18627,4,1926,1596,121,210,52,0,6,152
65866559,ID,0,31690,3,1301,481,34,6,1,0,0,5
714074,IRI,0,120527,3,3999,4708,419,106,43,1,7,55
58616946,IRI,0,5927,4,1805,844,105,10,0,0,0,10
49876476,FFI,0,401363,5,1002,20000,345,142,40,0,11,91
6297520,IRI,0,170757,7,3201,6226,185,131,54,1,2,74
40511756,ID,0,7160,5,3122,2737,253,57,3,0,10,44
42586612,IRI,0,24597,6,1529,734,30,6,0,0,2,4
381979,IRI_ID,0,33344,6,4449,5689,146,102,14,2,12,74
32623292,IRI,0,8681,2,2182,1607,251,64,0,0,0,64
1272424,ID,0,9849,2,3802,961,137,15,1,0,4,10
28513398,HI,1,925,3,1691,254,42,4,1,0,1,2
28538501,IRI_ID,0,13979,5,2376,673,105,31,2,0,1,28
7693799,IRI,0,13487,3,2900,2113,214,79,2,12,12,53
931039,IRI_ID,0,2484,4,3837,2288,211,66,35,0,17,14
19757917,ID,0,459,2,2530,173,28,4,1,0,0,3
6247705,IRI,0,1379,2,3111,764,228,31,13,0,0,18
22475123,IRI_ID,0,32568,5,2663,2307,145,44,11,3,13,17
85095608,ID,0,14169,4,1565,2930,125,39,17,0,6,16
18062944,IRI,0,7156,7,2652,4122,374,119,82,0,1,36
50146229,IRI,0,77123,3,1986,3772,127,90,38,0,5,47
743723,IRI,0,583,3,2794,398,50,14,0,0,3,11
2139017,IRI,0,602,5,3565,707,119,9,0,0,1,8
107119649,ID,0,51633,4,1317,176,8,1,0,0,0,1
2163263,ID,0,16933,2,3615,5661,265,120,22,2,20,76
942903,HI,1,1257,2,3911,683,96,12,1,0,5,6
66179765,HI,1,34308,3,1949,410,10,1,0,0,0,1
99234994,ID,0,379039,3,461,170,14,1,0,0,0,1
2006876,FFI_IRI,0,101265,18,3645,11356,1254,756,64,11,19,662
76413186,FFI,0,26581,4,1657,298,26,11,3,1,0,7
13030144,IRI_ID,0,5251,3,3225,665,40,39,0,1,0,38
1049095,FFI_IRI,0,74554,9,3887,12521,619,388,165,1,15,207
30582779,IRI_ID,0,2584,6,2319,1521,55,29,15,0,9,5
12143585,IRI,0,3602,2,2880,424,37,3,0,0,0,3
23013268,IRI,0,18089,4,2502,3285,273,40,6,0,1,33
62091339,FFI,0,283813,8,2356,14642,913,542,40,15,154,333
99401299,ID,0,4315,2,1408,767,90,13,7,0,0,6
19205896,FFI,0,60045,4,2639,5491,302,236,82,3,61,90
52034309,IRI,0,1182,3,1958,499,95,41,21,0,4,16
26291683,IRI,0,840285,3,2405,393,66,12,0,0,0,12
12512833,IRI_ID,0,2212,3,2650,367,23,7,3,0,0,4
42488903,IRI_ID,0,613028,3,2138,6134,407,112,13,3,26,70
12615154,ID,0,2544,3,2845,897,164,20,10,0,0,10
40484398,IRI,0,74159,3,2152,5265,419,183,38,0,89,56
911765,IRI,0,113959,8,4012,20000,592,362,83,8,35,236
6662075,IRI,0,6236,3,3151,2671,439,78,17,0,0,61
17814354,IRI,0,11916,3,2641,3537,319,76,17,2,15,42
107258,IRI,0,797,5,3792,839,85,20,4,0,3,13
9795883,IRI_ID,0,1555,4,1798,850,31,7,4,0,0,3
15337142,FFI_IRI,0,49437,8,2825,12441,456,662,462,1,45,154
501326,IRI,0,14768,3,3842,1409,116,87,5,1,3,78
4637221,FFI_IRI,0,4184,5,3048,2847,160,91,36,0,1,54
5604798,IRI,0,12607,5,3213,793,118,18,1,0,0,17
103749180,FFI_IRI,0,45794,41,1141,9859,1128,214,86,0,59,69
