language,count,count_distribution,bytes,bytes_distribution,percentage_sum,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
llvm,20,0.0038314176245210726,10751517,0.0003520265598777897,0.5350053266381323,0.0268,0.0891,0.0006,0.3979208738732695,1.412809398121753e-05
hy,5,0.0009578544061302681,308912,1.011440791703792e-05,0.5146104188152786,0.1029,0.2224,0.0047,0.5008378075823369,0.0010843284569099561
meson,43,0.008237547892720307,2024960,6.630131382298229e-05,0.5009975219932025,0.0117,0.0187,0.0075,0.11584577869657059,2.6653108323284383e-06
hack,54,0.010344827586206896,1464948,4.7965380591394526e-05,0.4911153581869863,0.0091,0.0267,0.0002,0.11864585758421398,2.2932190087216852e-07
verilog,12,0.0022988505747126436,5452956,0.00017854088328604723,0.48528172258546753,0.0404,0.1132,0.001,0.39354093918170985,1.9118416364217304e-07
swig,38,0.0072796934865900385,3376112,0.00011054078165175429,0.47653273659998513,0.0125,0.0434,0.0008,0.26530910851934775,1.1900434955336667e-05
smali,2,0.0003831417624521073,3047080,9.976760396439084e-05,0.455983942214673,0.228,0.3151,0.228,0.4507668598539588,0.005217082360714186
ada,17,0.0032567049808429117,12787680,0.00041869468273342394,0.4371867263906742,0.0257,0.0823,0.0009,0.34168163565669324,1.7722797272137426e-06
mathematica,13,0.0024904214559386974,1078526,3.531313744086095e-05,0.42796366656349116,0.0329,0.074,0.0013,0.2540929123618236,1.476088836930562e-06
vcl,5,0.0009578544061302681,112641,3.688095710697766e-06,0.42193871513800285,0.0844,0.1867,0.0012,0.41831361553716745,7.478331262235874e-05
pov-ray sdl,14,0.0026819923371647508,3501642,0.00011465088946830325,0.4056589830827635,0.029,0.0631,0.0003,0.21808506968621083,1.5881994827434866e-05
postscript,21,0.004022988505747126,1983650,6.494874030349182e-05,0.40502618318774847,0.0193,0.0744,0.0015,0.3431840671077501,4.122258397584265e-06
common workflow language,3,0.0005747126436781609,1043832,3.417718523352128e-05,0.3795794938487025,0.1265,0.156,0.0786,0.3008666528096563,0.0001329559487646364
fortran,25,0.004789272030651341,9225701,0.0003020682370209789,0.37332489175453554,0.0149,0.0385,0.0006,0.18789403397621043,1.5215100712485442e-05
openedge abl,7,0.0013409961685823754,817923,2.6780464555366595e-05,0.35633530675591457,0.0509,0.1331,0.0008,0.3528448007731093,0.0001283927913500813
idris,1,0.00019157088122605365,1202839,3.9383398199234646e-05,0.32624396822180834,0.32624396822180834,0.32624396822180834,0.32624396822180834,0.32624396822180834,0.32624396822180834
g-code,3,0.0005747126436781609,1855303,6.074639817069004e-05,0.3208323872294365,0.1069,0.143,0.0426,0.2708006405596828,0.007413496728779257
odin,1,0.00019157088122605365,2048139,6.70602414823449e-05,0.3064064981295961,0.3064064981295961,0.3064064981295961,0.3064064981295961,0.3064064981295961,0.3064064981295961
io,5,0.0009578544061302681,824984,2.7011656073670207e-05,0.28432553048136144,0.0569,0.1259,0.0005,0.28200917466823716,1.1025691233065727e-05
terra,4,0.0007662835249042146,333136,1.0907551004332444e-05,0.2806791845917596,0.0702,0.1397,0.0004,0.2797899045159019,8.915122495391025e-05
qmake,69,0.013218390804597701,1267535,4.15016769796015e-05,0.2784868204908066,0.004,0.0067,0.001,0.03263778949375938,4.056186094696631e-06
nesc,1,0.00019157088122605365,1290296,4.224691846779134e-05,0.276695351319266,0.276695351319266,0.276695351319266,0.276695351319266,0.276695351319266,0.276695351319266
shaderlab,8,0.0015325670498084292,537148,1.758731931365918e-05,0.26513704813471245,0.0331,0.0483,0.0112,0.11921023039305421,3.277154626470554e-05
lfe,1,0.00019157088122605365,215097,7.042713781695452e-06,0.2509783742535302,0.2509783742535302,0.2509783742535302,0.2509783742535302,0.2509783742535302,0.2509783742535302
antlr,38,0.0072796934865900385,1205010,3.9454481160038664e-05,0.24871084230052648,0.0065,0.0131,0.0013,0.0608562177719151,1.8370364979668974e-05
ballerina,1,0.00019157088122605365,9421172,0.0003084683555982803,0.2480436216013958,0.2480436216013958,0.2480436216013958,0.2480436216013958,0.2480436216013958,0.2480436216013958
logos,11,0.00210727969348659,880100,2.8816266146297563e-05,0.23333245697034205,0.0212,0.0538,0.0022,0.18233104144836343,7.258644703440638e-06
renderscript,7,0.0013409961685823754,684982,2.2427705507809563e-05,0.2317801783209354,0.0331,0.0635,0.0025,0.169394677343251,1.0500058637651407e-05
ragel,17,0.0032567049808429117,681999,2.233003601353118e-05,0.22932580893257293,0.0135,0.0259,0.0025,0.1050468424056643,8.539572059713688e-05
cobol,8,0.0015325670498084292,3008732,9.851201235641649e-05,0.22054495170398372,0.0276,0.0503,0.0024,0.13335577438753038,1.639654498667877e-06
slim,14,0.0026819923371647508,121916,3.991778097366224e-06,0.2081972131201481,0.0149,0.028,0.0009,0.09723010915515175,9.126637160962331e-05
smalltalk,39,0.007471264367816092,1646548,5.391133438319959e-05,0.20780861204799236,0.0053,0.0139,0.0001,0.07547116950865931,1.440675296375722e-07
standard ml,24,0.004597701149425287,32850012,0.001075576285309702,0.20648715091849607,0.0086,0.0198,0.0004,0.08621974295908226,3.870855905144956e-06
prolog,19,0.0036398467432950193,944137,3.091296792474371e-05,0.19161679294025852,0.0101,0.0388,0.0004,0.17037087545159152,1.6100453110302335e-05
liquid,13,0.0024904214559386974,281368,9.21256126923242e-06,0.19034279753796954,0.0146,0.042,0.0015,0.15335894856892757,2.6059876910514725e-07
awk,72,0.013793103448275862,722785,2.366545270600123e-05,0.18313755787387864,0.0025,0.014,0.0002,0.11809900625690099,5.63372664256934e-06
sourcepawn,14,0.0026819923371647508,1355145,4.437020677971186e-05,0.17805113941857204,0.0127,0.0291,0.0011,0.10725582399429333,7.288838205827595e-07
rebol,4,0.0007662835249042146,1017723,3.332232340780411e-05,0.17262733782628298,0.0432,0.0685,0.0143,0.1440043890355666,1.1398667637798077e-06
gap,28,0.0053639846743295016,1234226,4.041107249253523e-05,0.17240927219639554,0.0062,0.0166,0.0008,0.0869581920821081,6.885367705348744e-06
nasl,29,0.005555555555555556,2481820,8.125984052630862e-05,0.1685923755357259,0.0058,0.0183,0.0003,0.09487342168050256,1.1457807857008958e-07
freemarker,36,0.006896551724137931,1616502,5.2927567160575276e-05,0.16589936642247297,0.0046,0.0084,0.001,0.03861306512200833,6.750769133302505e-07
futhark,1,0.00019157088122605365,708941,2.321217195548499e-05,0.16496729233799282,0.16496729233799282,0.16496729233799282,0.16496729233799282,0.16496729233799282,0.16496729233799282
marko,3,0.0005747126436781609,179389,5.8735611495491115e-06,0.1550865735221323,0.0517,0.0724,0.0199,0.13450941266808064,0.0007097319491764185
open policy agent,6,0.0011494252873563218,241199,7.897346413158534e-06,0.15267778345185215,0.0254,0.0581,0.0008,0.14396863450014566,5.9296556291420144e-05
cap'n proto,9,0.0017241379310344827,401131,1.3133845762448003e-05,0.1390270603529292,0.0154,0.0324,0.0025,0.0989076362825422,2.2765128486385177e-06
plsql,33,0.00632183908045977,1401726,4.589536357253164e-05,0.1284649983279308,0.0039,0.0133,0.0008,0.07717201116163931,1.534492253858441e-06
apex,4,0.0007662835249042146,1057192,3.461461883846905e-05,0.11951619772673594,0.0299,0.0543,0.0035,0.11124625203427516,0.0012738835557732583
perl 6,1,0.00019157088122605365,19555,6.402705198168945e-07,0.11553299972231905,0.11553299972231905,0.11553299972231905,0.11553299972231905,0.11553299972231905,0.11553299972231905
asp.net,27,0.005172413793103448,2773520,9.0810692514577e-05,0.11454068997760922,0.0042,0.0098,0.0003,0.03909527934906317,4.208076650309216e-06
smt,5,0.0009578544061302681,247470,8.10267172278634e-06,0.1136680477135397,0.0227,0.0497,0.0005,0.11171888010954646,4.831187165375084e-05
angelscript,2,0.0003831417624521073,1495307,4.895939607138026e-05,0.10864839715317896,0.0543,0.0733,0.0543,0.1061381898797163,0.0025102072734626666
peg.js,7,0.0013409961685823754,153454,5.024396438147876e-06,0.09929554341952634,0.0142,0.0311,0.0025,0.0845135969930696,0.00017036919502582177
openscad,5,0.0009578544061302681,317022,1.037994583141864e-05,0.09560194392712612,0.0191,0.0316,0.0002,0.07301382630772398,1.107290545442596e-05
metal,13,0.0024904214559386974,465821,1.5251928090597066e-05,0.0956008220313475,0.0074,0.0175,0.0003,0.06181858099375644,3.1143218904712455e-05
thrift,22,0.00421455938697318,735760,2.4090280626974086e-05,0.09457665670416307,0.0043,0.0084,0.001,0.03720886137840365,2.4372385813173086e-05
saltstack,4,0.0007662835249042146,417996,1.3686040204621971e-05,0.09423167827360997,0.0236,0.0453,0.0011,0.09156094188709558,0.0005389021194171256
mercury,1,0.00019157088122605365,143420,4.695862845928867e-06,0.08359231291105479,0.08359231291105479,0.08359231291105479,0.08359231291105479,0.08359231291105479,0.08359231291105479
nearley,4,0.0007662835249042146,20821,6.817219377707778e-07,0.0795955010528316,0.0199,0.0383,0.0011,0.07727223538182211,0.00010167063336183191
bicep,3,0.0005747126436781609,347823,1.1388433291448309e-05,0.07855954094112894,0.0262,0.0453,0.0001,0.07849056124583528,9.330079387715149e-07
zenscript,1,0.00019157088122605365,1840612,6.0265384915428984e-05,0.07333592659633992,0.07333592659633992,0.07333592659633992,0.07333592659633992,0.07333592659633992,0.07333592659633992
yasnippet,5,0.0009578544061302681,127589,4.177523669287535e-06,0.06420952443827888,0.0128,0.0189,0.0012,0.04406292360731741,0.0002305895806123338
beef,2,0.0003831417624521073,251848,8.246016357701111e-06,0.05909784141233286,0.0295,0.0015,0.0295,0.030640367609052015,0.02845747380328085
sage,9,0.0017241379310344827,290922,9.525378684028155e-06,0.05867994181989027,0.0065,0.0104,0.0032,0.03416079221791486,0.001705855824216609
applescript,29,0.005555555555555556,60964,1.9960855009009027e-06,0.05521096762446177,0.0019,0.0061,0.0001,0.030306318035514087,2.354978675861121e-06
latte,2,0.0003831417624521073,82197,2.6912971576266567e-06,0.054472904034225236,0.0272,0.0384,0.0272,0.05437436715254891,9.853688167632808e-05
supercollider,4,0.0007662835249042146,2431747,7.962034854273452e-05,0.05139873648612677,0.0128,0.0237,0.0015,0.04843828439184566,5.3816285417208213e-05
forth,10,0.0019157088122605363,440356,1.4418152136256118e-05,0.050359596231762824,0.005,0.009,0.0001,0.025439270838733912,2.0541236943989798e-06
xs,14,0.0026819923371647508,1439689,4.713834949653107e-05,0.04252669398060339,0.003,0.0072,0.0001,0.02691982695345497,1.3948892565839987e-06
