repo_id,combo,combo_num,pj_size,lg_num,age,cmmt_num,dev_num,se_num,se_rem_num,se_iibc_num,se_pd_num,se_other
2183338,css_html_java_javascript,0,13093,9,3961,1555,52,3,1,0,0,2
128416969,python_shell,0,2804,2,2898,4435,176,15,13,0,0,2
8779606,java_shell,0,34825,2,4336,20362,669,271,23,0,1,247
2742985,python_shell,0,2032,2,5114,1526,50,3,3,0,0,0
8615848,html_javascript,1,2533,2,6077,1252,104,2,2,0,0,0
63369078,c_python_shell,0,4566,5,6466,1620,82,4,3,0,0,1
74891203,go_shell,0,1043,4,2956,1169,156,6,0,0,0,6
27350433,ruby_shell,0,3677,2,2425,1407,67,2,1,0,0,1
63082527,c#_shell,0,5319,4,3117,3797,126,2,0,0,0,2
53581270,css_html_javascript_php,0,57017,6,3396,20480,508,3,1,0,0,2
2579069,javascript_shell,0,18366,2,3760,2677,177,3,3,0,0,0
44108,c_shell,0,4335,7,4711,1407,71,4,2,0,0,2
33554674,java_javascript,0,107452,4,2668,1264,126,10,10,0,0,0
77675033,java_shell,0,2671,2,1979,6659,322,29,6,0,0,23
135175513,c_shell,0,16029,7,1793,3749,223,7,4,0,0,3
8627760,html_python_shell,0,554770,9,3606,20480,280,66,45,0,0,21
75990052,html_java,1,166396,8,3928,3072,161,62,46,0,0,16
8912617,html_java_javascript,0,8740,6,2936,3511,173,9,5,0,0,4
3305384,css_html_javascript_php,0,1063007,13,3882,20480,328,193,30,0,0,163
5362729,python_shell,0,2310,2,3201,1765,77,3,1,0,1,1
80783352,css_html_javascript,0,56840,4,1617,2581,41,3,3,0,0,0
73847171,c_python_shell,0,30910,19,3413,6287,91,41,40,0,0,1
3564353,css_html_javascript_php,0,6824,5,3421,1142,104,7,0,0,0,7
8489632,c_cpp_python_shell,0,9525,10,3417,2907,182,2,2,0,0,0
50646767,python_shell,0,31638,5,2137,11928,122,36,27,0,0,9
11974348,css_html_javascript_python_shell,1,592,5,2899,1209,102,4,0,0,0,4
26189434,css_javascript,0,4146,2,4916,2962,215,31,27,0,0,4
114962091,html_javascript_shell_typescript,0,36790,5,4027,2273,162,14,0,0,5,9
36928490,css_html_javascript_shell,0,23256,5,2236,1919,48,3,1,0,0,2
99242671,css_html_javascript,0,3266,3,1515,1041,22,6,0,0,0,6
27244181,c_cpp,0,7153,8,4038,2534,27,33,29,0,0,4
325927,css_html,0,5606,7,4243,1483,96,7,7,0,0,0
10400632,c_shell,0,135915,10,5596,20000,18,108,101,0,0,7
84138837,java_javascript,0,55304,5,3115,1814,143,5,4,0,0,1
95143992,go_shell,0,78219,5,2616,2610,253,3,3,0,0,0
14973783,c_cpp_shell,0,57008,5,3018,1550,257,6,3,0,0,3
5409008,php_shell,0,5595,4,3260,5103,82,10,0,0,0,10
24653868,html_java,1,5583,6,4602,6515,115,11,9,0,0,2
63525213,css_html_javascript_shell,0,132629,6,1830,1984,206,2,2,0,0,0
40736676,html_python_shell,0,6288,4,3891,6057,620,4,3,0,0,1
108451413,html_ruby,0,16480,6,3771,4244,117,2,1,0,0,1
27551774,go_shell,0,39976,7,2399,3496,203,16,11,0,0,5
96242277,java_javascript,0,122644,8,1619,1571,107,17,10,0,0,7
2753802,css_html_javascript,0,2599,3,3896,2954,199,9,9,0,0,0
42454540,go_shell,0,144808,5,2351,8199,116,24,1,0,0,23
83363132,go_shell,0,331883,5,3052,5940,310,19,2,0,0,17
2126953,javascript_ruby,0,650,2,3593,1112,185,3,3,0,0,0
49141197,javascript_python_shell,0,3968,11,3619,3273,844,4,2,0,0,2
83085579,javascript_typescript,0,63582,11,2690,10029,206,14,3,0,0,11
41479593,css_html_javascript_typescript,0,3325,4,7595,5046,113,43,1,0,0,42
35638505,c_cpp,0,1513,5,2260,1106,49,1,1,0,0,0
2641412,javascript_php,0,2990,3,6030,20480,645,340,177,0,0,163
21258726,css_html_javascript,0,2036,4,3160,1973,127,5,5,0,0,0
77326607,css_html_javascript_shell_typescript,0,78926,9,1977,19195,157,8,0,0,0,8
29417074,html_python_shell,0,3473,4,2377,8008,98,3,3,0,0,0
6367886,c_cpp,0,35876,8,3164,1958,225,7,5,0,0,2
12968651,python_shell,0,9261,2,2863,2974,118,1,0,1,0,0
13849411,css_html_javascript_php,0,23930,12,4449,10834,262,47,44,0,0,3
2790220,python_shell,0,15590,4,3600,10185,977,35,1,0,0,34
141352703,go_shell,0,4573,5,2007,2064,100,2,0,0,0,2
76599439,c_python,0,97876,17,4347,20072,350,271,258,1,1,11
66399014,java_javascript,0,7597,6,2868,1405,161,5,5,0,0,0
29811166,c_cpp_python,0,27810,9,2331,3370,71,7,6,0,0,1
1931356,c_cpp_python_shell,0,42060,13,3677,5203,144,29,27,0,0,2
9469271,css_html_javascript_python_shell,1,25676,9,4496,4792,179,6,3,0,0,3
20021038,css_javascript_php,0,21864,5,3339,10373,277,15,6,0,0,9
3570431,python_shell,0,1888,4,5746,1530,157,2,1,0,0,1
3662248,html_javascript_ruby,0,80350,5,3423,2096,272,30,5,0,0,25
29329884,go_shell,0,17825,4,2382,4053,115,20,16,0,0,4
28635894,c_cpp_python_shell,0,39726,7,3086,6676,179,5,5,0,0,0
18993042,java_shell,0,433768,7,2865,2503,212,4,4,0,0,0
31046054,go_shell,0,17631,5,2286,3052,247,15,11,0,0,4
113219518,go_shell,0,144595,5,3108,3198,171,10,6,0,0,4
31666151,css_html_javascript_ruby,0,9274,6,2332,1026,129,10,0,0,0,10
98018486,css_html_javascript_shell,0,2232,5,2357,2085,79,5,2,0,0,3
86480252,java_shell,0,93063,2,1537,1149,100,24,24,0,0,0
2562873,c_cpp,0,56985,10,4680,9401,147,19,16,0,0,3
2513898,css_html_javascript_ruby,0,16868,4,2501,1382,214,1,0,0,0,1
4726093,html_java,1,197981,10,8970,20480,268,62,55,0,0,7
14096802,css_html_javascript_ruby,0,27454,9,2691,1721,74,2,2,0,0,0
16727749,c_python,0,6872,9,2794,4038,83,41,35,0,0,6
573569,javascript_shell,0,2002,4,4139,11891,196,9,9,0,0,0
24546880,cpp_python_shell,0,6615,5,3543,6438,131,7,6,0,0,1
10456942,c_cpp_python_shell,0,298791,8,2971,7740,160,53,53,0,0,0
32829086,objectivec_ruby,0,5347,4,2319,2786,155,3,2,0,0,1
64106157,css_html_java_javascript,0,37778,8,2261,1080,53,2,0,0,0,2
35269905,css_html_javascript_python_shell,1,1075547,9,2501,2808,126,11,5,0,0,6
24517087,c_cpp,0,32394,6,2563,1790,28,14,14,0,0,0
84692493,html_javascript_shell,0,49342,3,1590,2372,95,10,10,0,0,0
2567844,c_cpp_shell,0,430714,18,4128,20440,434,141,136,0,0,5
15381974,css_html_javascript_python_shell,1,1479,5,3459,1260,156,3,0,1,0,2
21843083,python_shell,0,1083,3,2717,1843,163,4,0,0,0,4
1089149,java_javascript,0,98858,3,5214,7551,191,14,14,0,0,0
561616,css_html_javascript,0,5405,6,3847,2558,126,2,2,0,0,0
48921934,html_javascript,1,57171,3,3475,2803,143,5,0,0,0,5
1352324,html_python,0,2125,2,4513,3709,221,45,43,0,0,2
29501260,css_javascript_php,0,26930,7,2352,4217,363,22,1,0,1,20
84521458,c_shell,0,12214,7,1625,3898,141,7,4,0,0,3
75787966,c_cpp_python,0,54128,22,3352,3314,110,55,54,0,0,1
70557651,css_html_javascript_typescript,0,46306,4,1727,1953,46,3,2,0,0,1
7411076,html_javascript_ruby,0,5728,6,3302,1811,163,20,2,0,0,18
12895187,javascript_php,0,17975,4,3140,2013,94,3,0,0,0,3
18067829,c_cpp_python_shell,0,2837,5,2653,1625,167,5,3,0,0,2
4610430,html_java,1,44528,5,3235,2132,109,9,0,0,0,9
10098528,html_javascript_shell_typescript,0,26720,4,2990,2062,68,7,3,0,0,4
73905593,css_html_javascript_shell,0,9743,4,1934,2350,36,1,1,0,0,0
