repo_id,combo,combo_num,pj_size,lg_num,age,cmmt_num,dev_num,se_num,se_rem_num,se_iibc_num,se_pd_num,se_other
13030144,css_html_javascript,0,5251,3,3225,665,40,39,0,1,0,38
1049095,c_python_shell,0,74554,9,3887,12521,619,388,165,1,15,207
30582779,css_html_javascript_python_shell,0,2584,6,2319,1521,55,29,15,0,9,5
12143585,html_javascript,0,3602,2,2880,424,37,3,0,0,0,3
23013268,objectivec_ruby_shell,0,18089,4,2502,3285,273,40,6,0,1,33
62091339,go_shell,0,283813,8,2356,14642,913,542,40,15,154,333
99401299,html_javascript,0,4315,2,1408,767,90,13,7,0,0,6
19205896,go_shell,0,60045,4,2639,5491,302,236,82,3,61,90
52034309,go_shell,0,1182,3,1958,499,95,41,21,0,4,16
26291683,html_javascript_shell,0,840285,3,2405,393,66,12,0,0,0,12
12512833,css_html_javascript,0,2212,3,2650,367,23,7,3,0,0,4
42488903,css_html_javascript,0,613028,3,2138,6134,407,112,13,3,26,70
12615154,css_javascript_php,1,2544,3,2845,897,164,20,10,0,0,10
40484398,javascript_shell_typescript,0,74159,3,2152,5265,419,183,38,0,89,56
911765,javascript_ruby,0,113959,8,4012,20000,592,362,83,8,35,236
6662075,python_shell,0,6236,3,3151,2671,439,78,17,0,0,61
17814354,html_javascript,0,11916,3,2641,3537,319,76,17,2,15,42
107258,python_shell,0,797,5,3792,839,85,20,4,0,3,13
9795883,css_html_javascript_shell,0,1555,4,1798,850,31,7,4,0,0,3
15337142,c_cpp_python_shell,0,49437,8,2825,12441,456,662,462,1,45,154
501326,html_javascript_shell,0,14768,3,3842,1409,116,87,5,1,3,78
4637221,c_python_shell,0,4184,5,3048,2847,160,91,36,0,1,54
5604798,css_javascript,1,12607,5,3213,793,118,18,1,0,0,17
103749180,cpp_python,0,45794,41,1141,9859,1128,214,86,0,59,69
1217614,c_cpp,0,1550787,21,3187,20000,538,957,641,6,78,232
52595226,go_shell,0,6125,3,1528,404,12,5,3,0,2,0
8708394,css_javascript_php,1,1633,3,3007,1139,159,33,17,1,0,15
1549138,c_objectivec,0,5606,5,4082,2078,225,95,55,0,4,36
3744545,css_html_javascript,0,6003,4,3247,1672,406,44,6,0,0,38
37734226,javascript_typescript,0,189762,2,2100,3068,327,62,5,0,4,53
