id,languages,classifier,clfType,fileType
44125268,"['javascript', 'html', 'css', 'shell']",JavaScript*_Shell*_JS-CSS-HTML*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.html', '.js', '.css']"
3264770,"['typescript', 'javascript', 'html']",JavaScript*_JS-CSS-HTML*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
7420521,"['javascript', 'c', 'html']",JavaScript*_JS-CSS-HTML*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
68232444,"['c++', 'c', 'shell']",Shell*_C-C++,FFI_IMI,"['.c', '.cpp', '.sh', '.bsh', '.zsh']"
19753195,"['java', 'javascript', 'css', 'html', 'c++', 'c', 'shell']",JavaScript*_Java-C_Shell*_C-C++_Java*,FFI_IMI,"['.c', '.cpp', '.java', '.c', '.sh', '.bsh', '.zsh', '.java', '.ts', '.js', '.html']"
6905963,"['python', 'c', 'c++', 'shell']",Shell*_C-Python_C-C++,FFI_IMI,"['.c', '.cpp', '.c', '.py', '.sh', '.bsh', '.zsh']"
19441646,"['javascript', 'html']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
52948965,"['java', 'javascript', 'typescript', 'html', 'css']",JavaScript*_JS-CSS-HTML*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
5894962,"['python', 'c', 'shell']",Java-C_C-Python,FFI,"['.c', '.py', '.java', '.c']"
4439463,"['ruby', 'shell']",C++-Ruby,FFI,"['.cpp', '.cc', '.rb']"
3649922,"['c', 'shell', 'html', 'python']",Shell*_Python*,IMI,"['.sh', '.bsh', '.zsh', '.py']"
41148102,"['javascript', 'shell', 'html']",JavaScript*_Shell*,IMI,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
137495729,"['javascript', 'css']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
69119240,"['python', 'shell', 'html']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
14649399,"['c++', 'c']",C-C++,FFI,"['.c', '.cpp']"
26947325,"['python', 'shell']",C-Python,FFI,"['.c', '.py']"
130482471,"['html', 'css', 'shell', 'python']",JS-CSS-HTML*_Shell*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
63096822,"['java', 'shell', 'python']",Java-C_Java*_Shell*,FFI_IMI,"['.java', '.c', '.java', '.sh', '.bsh', '.zsh']"
26092799,"['html', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
10608695,"['shell', 'java']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
10373529,"['go', 'shell', 'python']",Shell*_Go*_Python*,IMI,"['.py', '.go', '.sh', '.bsh', '.zsh']"
27790789,"['java', 'shell', 'html']",Java*,IMI,['.java']
3074850,"['java', 'javascript', 'html']",JavaScript*_JS-CSS-HTML*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
107597148,"['go', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
37165115,"['go', 'shell']",C-Go,FFI,['.go']
38999874,"['c', 'shell', 'python', 'html', 'c++']",Shell*_C-C++,FFI_IMI,"['.c', '.cpp', '.sh', '.bsh', '.zsh']"
19832415,"['python', 'c++', 'c', 'go', 'shell', 'java']",Shell*_Python*_C-C++_Go*_C-Python,FFI_IMI,"['.c', '.cpp', '.c', '.py', '.sh', '.bsh', '.zsh', '.py', '.go']"
28252701,"['html', 'javascript', 'shell']",JavaScript*_JS-CSS-HTML*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
11222414,"['php', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
4146984,"['c', 'php', 'c++', 'shell', 'python', 'ruby']",PHP*_Java-C_Shell*_C-C++_Python*_Ruby*,FFI_IMI,"['.c', '.cpp', '.java', '.c', '.sh', '.bsh', '.zsh', '.php', '.py', '.rb']"
1071489,"['ruby', 'html', 'css', 'javascript', 'shell']",JS-CSS-HTML*_Shell*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
